Date,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China Total,Thailand,Japan,South Korea,Taiwan,US,US,US,Macau,Hong Kong,Singapore,Vietnam,France,Nepal,Malaysia,Canada,Canada,US,US,Australia,Australia,Australia,Cambodia,Sri Lanka,Germany,Finland,United Arab Emirates,Philippines,India,Canada,Italy,UK,Russia,Sweden,US,Spain,Australia,US,US,Belgium,US,Others,US,US,Egypt,Iran,US,US,Australia,US,Lebanon,US,US,Iraq,US,Oman,Afghanistan,Bahrain,Kuwait,Algeria,Croatia,Switzerland,Austria,Israel,Pakistan,Brazil,Georgia,Greece,North Macedonia,Norway,Romania,Denmark,Estonia,Netherlands,San Marino,Belarus,Canada,Iceland,Lithuania,Mexico,New Zealand,Nigeria,Australia,Ireland,Luxembourg,Monaco,Qatar,US,Ecuador,Azerbaijan,Czech Republic,Armenia,Dominican Republic,US,Indonesia,Portugal,Andorra,Australia,Latvia,Morocco,Saudi Arabia,Senegal,US,US,US,US,US,US,US,US,US,US,Argentina,Chile,Jordan,US,US,US,US,US,Ukraine,Other Locations
,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,,,,,Taiwan,"King County, WA","Cook County, IL","Tempe, AZ",Macau,Hong Kong,,,,,,"Toronto, ON",British Columbia,"Orange, CA","Los Angeles, CA",New South Wales,Victoria,Queensland,,,,,,,,"London, ON",,,,,"Santa Clara, CA",,South Australia,"Boston, MA","San Benito, CA",,"Madison, WI",Diamond Princess cruise ship,"San Diego County, CA","San Antonio, TX",,,"Omaha, NE (From Diamond Princess)","Travis, CA (From Diamond Princess)",From Diamond Princess,"Lackland, TX (From Diamond Princess)",,"Humboldt County, CA","Sacramento County, CA",,Unassigned Location (From Diamond Princess),,,,,,,,,,,,,,,,,,,,,," Montreal, QC",,,,,,Western Australia,,,,,"Snohomish County, WA",,,,,,"Providence, RI",,,,Tasmania,,,,,"Grafton County, NH","Hillsborough, FL","New York City, NY","Placer County, CA","San Mateo, CA","Sarasota, FL","Sonoma County, CA","Umatilla, OR","Fulton County, GA","Washington County, OR",,,," Norfolk County, MA","Berkeley, CA","Maricopa County, AZ","Wake County, NC","Westchester County, NY",,
12-Feb,889,352,518,272,87,1219,222,133,157,251,378,1135,33366,946,60,543,844,83,116,58,18,225,497,311,126,436,112,1,59,154,1131,44699,33,28,28,18,1,2,1,10,50,50,15,11,1,18,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,9,2,1,2,2,2,1,2,1,1,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523
13-Feb,910,366,529,279,90,1241,222,135,157,265,395,1169,48206,968,61,570,872,84,117,64,18,229,509,315,126,451,119,1,63,156,1145,59832,33,28,28,18,1,2,1,10,53,58,16,11,1,19,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,9,2,1,2,2,2,1,2,1,1,175,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538
14-Feb,934,372,537,281,90,1261,226,140,159,283,419,1184,54406,988,65,593,900,86,119,67,18,230,523,318,127,463,120,1,65,162,1155,66292,33,29,28,18,1,2,1,10,56,67,16,11,1,19,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,9,2,1,2,2,2,1,2,1,1,218,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595
15-Feb,950,375,544,285,90,1294,235,143,162,291,425,1212,56249,1001,68,604,913,88,119,70,18,232,532,326,128,470,122,1,70,168,1162,68347,33,43,28,18,1,2,1,10,56,72,16,12,1,22,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,9,2,1,2,2,2,1,2,1,1,285,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685
16-Feb,962,380,551,287,90,1316,237,144,162,300,445,1231,58182,1004,70,617,925,89,121,70,18,236,537,328,129,481,124,1,71,171,1167,70446,34,59,29,20,1,2,1,10,57,75,16,12,1,22,2,4,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,355,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780
17-Feb,973,381,553,290,91,1322,238,146,163,301,457,1246,59989,1006,72,626,930,89,121,70,18,240,541,333,130,495,125,1,75,171,1171,72364,35,66,30,22,1,2,1,10,60,77,16,12,1,22,2,5,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,454,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896
18-Feb,982,387,555,292,91,1328,242,146,163,306,464,1257,61682,1007,73,629,933,89,121,70,18,240,543,333,131,508,128,1,76,172,1172,74139,35,74,31,22,1,2,1,10,62,81,16,12,1,22,2,5,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,542,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999
19-Feb,986,393,560,293,91,1331,244,146,168,306,470,1262,62031,1008,75,631,934,90,121,71,18,242,544,333,131,514,130,1,76,172,1174,74546,35,84,31,23,1,2,1,10,63,84,16,12,1,22,2,5,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,621,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095
20-Feb,987,395,567,293,91,1332,245,146,168,307,476,1265,62442,1010,75,631,934,91,121,71,18,245,546,334,132,520,131,1,76,174,1175,74999,35,94,104,24,1,2,1,10,68,84,16,12,1,22,2,5,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,634,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200
21-Feb,988,396,572,293,91,1333,246,146,168,308,479,1267,62662,1011,75,631,934,91,121,71,18,245,749,334,132,525,132,1,76,174,1203,75472,35,105,204,26,1,2,1,10,68,85,16,12,1,22,2,6,1,1,4,4,5,1,1,16,1,9,3,3,1,20,9,2,1,2,2,2,1,2,1,1,634,2,1,1,18,11,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371
22-Feb,989,399,573,293,91,1339,249,146,168,309,479,1270,64084,1013,75,631,934,91,121,71,18,245,750,335,132,526,135,1,76,174,1205,76922,35,122,433,26,1,2,1,10,69,85,16,12,1,22,2,6,1,1,4,4,5,1,1,16,1,13,3,3,1,62,9,2,1,2,2,2,1,2,1,1,634,2,1,1,28,11,5,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677
23-Feb,989,399,575,293,91,1342,249,146,168,311,480,1271,64084,1016,75,631,934,91,121,71,18,245,754,335,132,526,135,1,76,174,1205,76938,35,147,602,28,1,2,1,10,74,89,16,12,1,22,2,6,1,1,4,4,5,1,1,16,1,13,3,3,1,155,9,2,1,2,2,2,1,2,1,1,691,2,1,1,43,11,5,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047
24-Feb,989,399,576,293,91,1345,251,146,168,311,480,1271,64287,1016,75,631,934,93,121,71,18,245,755,335,133,527,135,1,76,174,1205,77152,35,159,833,30,1,2,1,10,79,89,16,12,1,22,3,6,1,1,4,4,5,1,1,16,1,13,3,3,1,229,13,2,1,2,2,2,1,2,1,1,691,2,1,1,61,0,0,7,0,1,1,1,1,36,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418
25-Feb,989,400,576,294,91,1347,252,146,168,311,480,1271,64786,1016,75,631,934,93,121,71,18,245,756,336,133,529,135,1,76,174,1205,77660,37,170,977,31,1,2,1,10,84,91,16,14,1,22,3,7,1,1,4,4,5,1,1,17,1,13,3,3,1,322,13,2,1,2,6,2,1,2,1,1,691,2,1,1,95,0,0,7,0,1,1,1,1,36,2,1,23,11,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755
26-Feb,989,400,576,294,91,1347,252,146,168,312,480,1271,65187,1016,75,631,934,93,121,71,18,245,756,337,133,531,135,1,76,174,1205,78065,40,189,1261,32,1,2,1,10,91,93,16,18,1,22,3,7,1,1,4,4,5,1,1,27,2,13,3,3,1,453,13,2,2,2,13,2,1,2,1,1,705,2,1,1,139,0,0,7,0,2,1,1,5,42,4,1,33,26,1,3,1,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332
27-Feb,989,410,576,296,91,1347,252,146,168,317,480,1272,65596,1017,75,631,934,93,121,72,18,245,756,337,133,534,136,1,76,174,1205,78498,40,214,1766,32,1,2,1,10,92,93,16,38,1,23,5,7,1,1,4,4,5,1,1,46,2,13,3,3,1,655,15,2,7,2,15,2,1,2,1,1,705,2,1,1,245,0,0,8,0,2,1,2,7,42,4,1,33,43,1,3,8,3,3,2,1,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4258
28-Feb,990,410,576,296,91,1348,252,146,168,318,480,1272,65914,1017,75,631,935,93,121,72,18,245,756,337,133,538,136,1,76,174,1205,78824,41,228,2337,34,1,2,1,10,94,93,16,57,1,23,5,7,1,1,4,4,5,1,1,48,2,19,3,3,1,888,20,2,7,2,32,2,1,2,1,1,705,2,1,1,388,0,0,8,0,2,1,2,7,44,4,1,36,45,1,5,8,3,4,2,1,1,4,1,6,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5298
29-Feb,990,411,576,296,91,1349,252,146,168,318,480,1272,66337,1018,75,631,935,93,121,73,18,245,756,337,133,538,136,1,76,174,1205,79251,42,241,3150,39,6,2,1,10,95,102,16,100,1,25,10,8,1,1,4,7,9,1,1,79,3,21,3,3,1,1128,23,2,12,3,45,3,1,2,1,1,705,2,1,1,593,0,0,0,0,4,1,2,13,44,6,1,41,45,1,6,18,9,7,4,2,1,4,1,15,3,3,1,6,1,1,1,1,1,4,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6762
1-Mar,990,413,576,296,91,1349,252,146,168,318,480,1272,66907,1018,75,631,935,93,122,73,18,245,758,337,133,538,136,1,76,174,1205,79826,42,256,3736,40,9,3,1,10,96,106,16,130,1,29,14,8,1,1,6,7,9,1,1,130,6,21,3,3,1,1694,36,2,14,3,84,3,1,2,2,1,705,2,1,2,978,0,0,0,0,10,1,2,19,44,6,1,47,45,1,7,27,14,10,4,2,3,7,1,19,3,4,1,10,1,1,1,3,1,5,1,1,2,1,1,1,3,2,6,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8545
2-Mar,990,414,576,296,91,1350,252,146,168,318,480,1272,67103,1018,75,631,935,93,122,74,18,245,758,337,133,538,136,1,76,174,1206,80026,43,274,4335,41,14,4,1,10,100,108,16,191,1,29,17,8,1,1,6,9,9,1,1,159,6,21,3,5,1,2036,40,3,15,9,120,3,1,2,8,1,705,2,1,2,1501,0,0,0,0,13,1,2,26,45,6,1,49,56,3,7,42,18,10,4,2,3,7,1,25,3,4,1,18,8,1,1,6,1,5,1,1,2,1,1,1,3,4,6,3,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,10283
3-Mar,990,414,576,296,91,1350,252,146,168,318,480,1272,67217,1018,75,631,935,93,125,74,18,245,758,338,133,538,136,1,76,174,1213,80151,43,293,5186,42,21,4,1,10,100,110,16,204,1,36,19,9,1,1,13,9,11,1,1,196,6,27,3,5,1,2502,51,3,21,11,165,3,1,2,13,1,706,2,1,2,2336,0,0,0,0,13,1,2,32,45,12,1,49,56,5,9,56,21,12,5,2,3,7,1,32,3,6,2,24,10,1,1,11,1,5,1,1,2,2,1,1,7,6,7,3,5,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,12693
