Date,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China Total,Thailand,Japan,South Korea,Taiwan,US,US,US,Macau,Hong Kong,Singapore,Vietnam,France,Nepal,Malaysia,Canada,Canada,US,US,Australia,Australia,Australia,Cambodia,Sri Lanka,Germany,Finland,United Arab Emirates,Philippines,India,Canada,Italy,UK,Russia,Sweden,US,Spain,Australia,US,US,Belgium,US,Others,US,US,Egypt,Iran,US,US,Australia,US,Lebanon,US,US,Iraq,US,Oman,Afghanistan,Bahrain,Kuwait,Algeria,Croatia,Switzerland,Austria,Israel,Pakistan,Brazil,Georgia,Greece,North Macedonia,Norway,Romania,Denmark,Estonia,Netherlands,San Marino,Belarus,Canada,Iceland,Lithuania,Mexico,New Zealand,Nigeria,Australia,Ireland,Luxembourg,Monaco,Qatar,US,Ecuador,Azerbaijan,Czech Republic,Armenia,Dominican Republic,US,Indonesia,Portugal,Andorra,Australia,Latvia,Morocco,Saudi Arabia,Senegal,US,US,US,US,US,US,US,US,US,US,Argentina,Chile,Jordan,US,US,US,US,US,Ukraine,Other Locations
,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,,,,,Taiwan,"King County, WA","Cook County, IL","Tempe, AZ",Macau,Hong Kong,,,,,,"Toronto, ON",British Columbia,"Orange, CA","Los Angeles, CA",New South Wales,Victoria,Queensland,,,,,,,,"London, ON",,,,,"Santa Clara, CA",,South Australia,"Boston, MA","San Benito, CA",,"Madison, WI",Diamond Princess cruise ship,"San Diego County, CA","San Antonio, TX",,,"Omaha, NE (From Diamond Princess)","Travis, CA (From Diamond Princess)",From Diamond Princess,"Lackland, TX (From Diamond Princess)",,"Humboldt County, CA","Sacramento County, CA",,Unassigned Location (From Diamond Princess),,,,,,,,,,,,,,,,,,,,,," Montreal, QC",,,,,,Western Australia,,,,,"Snohomish County, WA",,,,,,"Providence, RI",,,,Tasmania,,,,,"Grafton County, NH","Hillsborough, FL","New York City, NY","Placer County, CA","San Mateo, CA","Sarasota, FL","Sonoma County, CA","Umatilla, OR","Fulton County, GA","Washington County, OR",,,," Norfolk County, MA","Berkeley, CA","Maricopa County, AZ","Wake County, NC","Westchester County, NY",,
31-Jan,237,139,211,120,29,436,87,29,52,82,59,352,5806,332,20,168,240,14,48,21,8,87,184,135,39,177,32,1,17,83,538,9783,19,15,11,10,1,2,1,7,12,13,2,5,1,8,2,1,1,1,4,3,2,1,1,5,1,4,1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
1-Feb,297,168,247,144,40,535,100,29,62,96,80,422,7153,389,23,202,286,17,64,26,9,101,206,169,47,207,41,1,18,93,599,11871,19,20,12,10,1,2,1,7,13,16,6,6,1,8,2,1,1,1,4,4,3,1,1,8,1,4,1,1,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
2-Feb,340,191,300,159,51,632,111,38,64,104,95,493,11177,463,27,236,333,23,70,28,11,116,230,182,66,231,48,1,21,105,661,16607,19,20,15,10,1,2,1,8,15,18,6,6,1,8,2,1,1,1,4,4,2,1,1,10,1,5,2,2,1,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
3-Feb,408,212,337,179,55,725,127,46,72,113,121,566,13522,521,34,271,391,31,74,31,13,128,259,203,74,254,60,1,24,117,724,19693,19,20,15,10,1,2,1,8,15,18,8,6,1,8,2,1,1,1,4,4,2,1,1,12,1,5,2,3,1,2,2,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
4-Feb,480,228,366,194,57,813,139,58,80,126,155,675,16678,593,35,308,476,42,81,34,15,142,275,219,81,282,67,1,29,122,829,23680,25,22,16,11,1,2,1,10,17,24,8,6,1,10,2,1,1,1,4,4,3,1,1,12,1,5,2,3,1,2,2,2,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
5-Feb,530,253,389,205,62,895,150,64,99,135,190,764,19665,661,42,341,548,54,89,34,17,165,307,243,81,301,69,1,32,128,895,27409,25,22,19,11,1,2,1,10,21,28,8,6,1,12,2,2,1,1,4,4,3,1,1,12,1,5,2,3,1,2,2,2,1,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
6-Feb,591,274,411,215,62,970,168,71,106,157,227,851,22112,711,46,373,600,59,94,40,18,173,347,257,96,321,79,1,36,133,954,30553,25,45,23,16,1,2,1,10,24,28,10,6,1,12,2,2,1,1,4,4,4,1,1,12,1,5,2,3,1,2,2,2,1,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
7-Feb,665,297,426,224,67,1034,172,81,117,172,277,914,24953,772,50,408,661,65,99,43,18,184,386,277,104,344,81,1,39,138,1006,34075,25,25,24,16,1,2,1,10,25,30,10,6,1,12,2,4,1,1,4,4,5,1,1,13,1,5,3,3,1,3,3,2,1,2,1,2,1,2,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
8-Feb,733,315,428,239,79,1095,183,89,124,195,295,981,27100,803,52,439,698,69,105,45,18,195,416,286,115,364,88,1,42,138,1048,36778,32,25,24,17,1,2,1,10,26,33,13,11,1,16,2,4,1,1,4,4,5,1,1,13,1,7,3,3,1,3,3,2,1,2,1,2,1,2,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343
9-Feb,779,326,468,250,83,1131,195,99,131,206,307,1033,29631,838,54,468,740,78,107,45,18,208,444,293,119,386,91,1,45,141,1075,39790,32,26,25,18,1,2,1,10,29,40,13,11,1,16,2,4,1,1,4,4,5,1,1,14,1,7,3,3,1,3,3,2,1,2,2,2,1,2,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
10-Feb,830,337,486,261,83,1159,210,109,138,218,331,1073,31728,879,58,492,771,80,108,49,18,213,466,299,119,405,95,1,49,149,1092,42306,32,26,27,18,1,2,1,10,38,45,14,11,1,18,2,4,1,1,4,4,5,1,1,14,1,8,3,3,1,3,8,2,1,2,2,2,1,2,1,1,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457
11-Feb,860,342,505,267,86,1177,215,127,144,239,360,1105,33366,912,58,515,804,81,111,53,18,219,487,303,124,417,106,1,55,153,1117,44327,33,26,28,18,1,2,1,10,49,47,15,11,1,18,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,8,2,1,2,2,2,1,2,1,1,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476
